reg;jour;P_f;P_h;P;T_f;T_h;T;cl_age90
01;2020-05-13;0;0;0;0;0;0;09
01;2020-05-13;0;0;0;1;0;1;19
01;2020-05-13;0;0;0;1;0;1;29
01;2020-05-13;0;0;0;5;1;6;39
01;2020-05-13;0;0;0;2;1;3;49
01;2020-05-13;0;0;0;5;2;7;59
01;2020-05-13;0;0;0;1;1;2;69
01;2020-05-13;0;0;0;1;4;5;79
01;2020-05-13;0;0;0;1;0;1;89
01;2020-05-13;0;0;0;0;0;0;90
01;2020-05-13;0;0;0;17;9;26;0
02;2020-05-13;0;0;0;3;1;4;09
02;2020-05-13;0;0;0;3;2;5;19
02;2020-05-13;0;0;0;7;4;12;29
02;2020-05-13;0;0;0;5;4;9;39
02;2020-05-13;1;0;1;8;2;10;49
02;2020-05-13;0;2;2;11;10;21;59
02;2020-05-13;1;0;1;4;3;7;69
02;2020-05-13;0;0;0;2;2;4;79
02;2020-05-13;0;0;0;2;2;4;89
02;2020-05-13;0;0;0;1;0;1;90
02;2020-05-13;2;2;4;46;31;78;0
03;2020-05-13;0;0;0;0;0;0;09
03;2020-05-13;0;0;0;0;0;0;19
03;2020-05-13;0;0;0;0;0;0;29
03;2020-05-13;0;0;0;0;1;1;39
03;2020-05-13;0;0;0;0;0;0;49
03;2020-05-13;0;0;0;1;0;1;59
03;2020-05-13;0;0;0;0;0;0;69
03;2020-05-13;0;0;0;0;0;0;79
03;2020-05-13;0;0;0;0;0;0;89
03;2020-05-13;0;0;0;0;0;0;90
03;2020-05-13;0;0;0;1;1;2;0
04;2020-05-13;0;0;0;3;4;7;09
04;2020-05-13;0;0;0;11;11;22;19
04;2020-05-13;1;0;1;31;22;53;29
04;2020-05-13;0;0;0;27;29;56;39
04;2020-05-13;0;0;0;28;23;51;49
04;2020-05-13;0;0;0;21;37;58;59
04;2020-05-13;0;0;0;30;20;50;69
04;2020-05-13;0;0;0;18;25;43;79
04;2020-05-13;0;0;0;8;4;12;89
04;2020-05-13;0;0;0;1;2;3;90
04;2020-05-13;1;0;1;178;177;355;0
05;2020-05-13;0;0;0;0;0;0;09
05;2020-05-13;0;0;0;0;0;0;19
05;2020-05-13;0;0;0;0;0;0;29
05;2020-05-13;0;0;0;0;0;0;39
05;2020-05-13;0;0;0;0;0;0;49
05;2020-05-13;0;0;0;0;0;0;59
05;2020-05-13;0;0;0;0;0;0;69
05;2020-05-13;0;0;0;0;0;0;79
05;2020-05-13;0;0;0;0;0;0;89
05;2020-05-13;0;0;0;0;0;0;90
05;2020-05-13;0;0;0;0;0;0;0
06;2020-05-13;0;0;0;0;0;0;09
06;2020-05-13;1;0;1;1;0;1;19
06;2020-05-13;1;1;2;3;1;4;29
06;2020-05-13;0;1;1;3;2;5;39
06;2020-05-13;0;1;1;1;3;4;49
06;2020-05-13;0;3;3;3;5;8;59
06;2020-05-13;0;1;1;0;1;1;69
06;2020-05-13;0;0;0;1;0;1;79
